Tweet,positive,negative,neutral,question,suggestion
@VirginAmerica I didn't today... Must mean I need to take another trip!,0,0,1,0,0
"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",0,1,0,0,0
@VirginAmerica and it's a really big bad thing about it,0,1,0,0,0
"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",0,1,0,0,1
"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)",1,0,0,0,0
"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",0,0,1,0,0
"@virginamerica Well, I didn't…but NOW I DO! :-D",0,0,1,0,0
"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",1,0,0,0,0
@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,0,0,1,0,0
@VirginAmerica I &lt 3 pretty graphics. so much better than minimal iconography. :D,1,0,0,0,0
@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp  I haven't even gone on my 1st trip yet! ,1,0,0,0,0
@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,1,0,0,0,0
@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,1,0,0,0,0
@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,0,1,0,0,0
I love flying with u @VirginAmerica.,1,0,0,0,0
@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,1,0,0,0,0
@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???,1,0,0,1,0
@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,1,0,0,0,0
@VirginAmerica I love the hipster innovation. You are a feel good brand.,1,0,0,0,0
@VirginAmerica will you be making BOS&g0t LAS non stop permanently anytime soon?,0,0,1,1,0
@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... ? I want free internet,0,1,0,1,0
@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.,0,1,0,0,0
@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail,0,1,0,1,1
@VirginAmerica do you miss me? Don't worry we'll be together very soon.,0,0,0,1,0
@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,0,1,0,0,0
@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix,0,0,1,0,0
"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems ?",0,1,0,1,0
@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?,0,0,1,0,0
"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!",0,1,0,0,0
